time,gFx,gFy,gFz,TgF
0.010562,0.3288,-0.3991,-0.8522,1.00
0.036925,0.3302,-0.4017,-0.8520,1.00
0.042296,0.3319,-0.4014,-0.8506,1.00
0.058767,0.3346,-0.4027,-0.8482,1.00
0.092472,0.3361,-0.4061,-0.8498,1.00
0.109648,0.3321,-0.4076,-0.8547,1.00
0.127517,0.3305,-0.4095,-0.8591,1.01
0.141784,0.3293,-0.4107,-0.8542,1.00
0.158437,0.3290,-0.4079,-0.8498,1.00
0.193560,0.3232,-0.4061,-0.8554,1.00
0.209399,0.3227,-0.3760,-0.8538,0.99
0.236853,0.3310,-0.4184,-0.8484,1.00
0.241985,0.3249,-0.4159,-0.8559,1.01
0.274489,0.3241,-0.4117,-0.8554,1.00
0.291438,0.3244,-0.4061,-0.8579,1.00
0.308270,0.3258,-0.4022,-0.8574,1.00
0.339437,0.3190,-0.4019,-0.8613,1.00
0.341074,0.3207,-0.4010,-0.8587,1.00
0.375308,0.3200,-0.4014,-0.8569,1.00
0.391651,0.3183,-0.3942,-0.8603,1.00
0.408815,0.3202,-0.3905,-0.8587,1.00
0.436202,0.3209,-0.4079,-0.8515,1.00
0.441539,0.3193,-0.4083,-0.8520,1.00
0.474487,0.3207,-0.4037,-0.8569,1.00
0.491096,0.3202,-0.4059,-0.8643,1.01
0.507686,0.3227,-0.4056,-0.8628,1.01
0.527986,0.3274,-0.4059,-0.8545,1.00
0.558103,0.3207,-0.4049,-0.8473,0.99
0.575620,0.3158,-0.3954,-0.8522,0.99
0.591678,0.3207,-0.4024,-0.8582,1.00
0.610751,0.3080,-0.4159,-0.8645,1.01
0.631976,0.3163,-0.4242,-0.8682,1.02
0.645673,0.3190,-0.4230,-0.8689,1.02
0.674527,0.3314,-0.4119,-0.8482,1.00
0.690849,0.3317,-0.4002,-0.8410,0.99
0.707870,0.3221,-0.3921,-0.8489,0.99
0.728324,0.3202,-0.3886,-0.8640,1.00
0.757296,0.3283,-0.3993,-0.8547,1.00
0.774444,0.3324,-0.4042,-0.8522,1.00
0.790217,0.3326,-0.4073,-0.8508,1.00
0.807444,0.3319,-0.4068,-0.8501,1.00
0.840194,0.3288,-0.4054,-0.8540,1.00
0.857214,0.3302,-0.4051,-0.8533,1.00
0.874145,0.3288,-0.4051,-0.8522,1.00
0.890234,0.3286,-0.4027,-0.8486,1.00
0.928193,0.3312,-0.4079,-0.8547,1.00
0.940166,0.3332,-0.4088,-0.8571,1.01
0.956851,0.3358,-0.4083,-0.8491,1.00
0.975787,0.3398,-0.4068,-0.8515,1.00
0.991846,0.3383,-0.4054,-0.8496,1.00
1.027961,0.3386,-0.4059,-0.8510,1.00
1.041586,0.3393,-0.4059,-0.8498,1.00
1.058721,0.3402,-0.4095,-0.8459,1.00
1.075446,0.3422,-0.4083,-0.8445,1.00
1.090794,0.3461,-0.4039,-0.8420,1.00
1.131618,0.3459,-0.4027,-0.8442,1.00
1.142564,0.3454,-0.4042,-0.8430,1.00
1.157762,0.3449,-0.4083,-0.8442,1.00
1.174410,0.3456,-0.4093,-0.8471,1.00
1.207670,0.3476,-0.4076,-0.8430,1.00
1.227526,0.3463,-0.4079,-0.8447,1.00
1.239740,0.3484,-0.4063,-0.8449,1.00
1.256484,0.3505,-0.4073,-0.8440,1.00
1.273270,0.3510,-0.4081,-0.8442,1.00
1.307291,0.3512,-0.4091,-0.8440,1.00
1.329397,0.3515,-0.4071,-0.8440,1.00
1.343568,0.3512,-0.4105,-0.8423,1.00
1.355992,0.3500,-0.4100,-0.8435,1.00
1.374710,0.3540,-0.4079,-0.8410,1.00
1.406140,0.3519,-0.4059,-0.8401,1.00
1.427437,0.3495,-0.4088,-0.8437,1.00
1.440999,0.3581,-0.4105,-0.8428,1.00
1.455804,0.3586,-0.4088,-0.8377,1.00
1.490685,0.3624,-0.4037,-0.8244,0.99
1.507547,0.3532,-0.4037,-0.8374,0.99
1.527276,0.3463,-0.4037,-0.8517,1.00
1.543628,0.3479,-0.4100,-0.8477,1.00
1.572618,0.3500,-0.4140,-0.8389,1.00
1.591883,0.3517,-0.4128,-0.8420,1.00
1.607239,0.3493,-0.4142,-0.8437,1.00
1.625018,0.3481,-0.4122,-0.8437,1.00
1.644000,0.3528,-0.4105,-0.8457,1.00
1.672349,0.3505,-0.4091,-0.8379,1.00
1.689825,0.3507,-0.4081,-0.8384,1.00
1.706266,0.3488,-0.4063,-0.8403,1.00
1.722783,0.3517,-0.4095,-0.8435,1.00
1.743576,0.3535,-0.4081,-0.8396,1.00
1.772906,0.3530,-0.4073,-0.8391,1.00
1.788639,0.3473,-0.4079,-0.8430,1.00
1.807389,0.3432,-0.4091,-0.8442,1.00
1.823366,0.3439,-0.4093,-0.8469,1.00
1.844489,0.3430,-0.4081,-0.8508,1.00
1.871653,0.3449,-0.4071,-0.8408,1.00
1.888642,0.3466,-0.4081,-0.8384,0.99
1.906903,0.3432,-0.4007,-0.8398,0.99
1.923003,0.3424,-0.4022,-0.8435,1.00
1.942822,0.3419,-0.4056,-0.8498,1.00
1.972066,0.3439,-0.4128,-0.8510,1.01
1.989673,0.3400,-0.4132,-0.8491,1.00
2.006262,0.3395,-0.4122,-0.8496,1.00
2.025263,0.3346,-0.4098,-0.8503,1.00
2.055163,0.3363,-0.4095,-0.8517,1.00
2.072730,0.3332,-0.4083,-0.8522,1.00
2.088474,0.3344,-0.4095,-0.8506,1.00
2.106617,0.3346,-0.4083,-0.8506,1.00
2.127937,0.3366,-0.4095,-0.8498,1.00
2.154110,0.3344,-0.4095,-0.8508,1.00
2.172565,0.3300,-0.4068,-0.8517,1.00
2.187969,0.3298,-0.4061,-0.8520,1.00
2.205593,0.3312,-0.4056,-0.8547,1.00
2.228415,0.3379,-0.4042,-0.8538,1.00
2.260109,0.3363,-0.4007,-0.8364,0.99
2.271342,0.3324,-0.4005,-0.8410,0.99
2.287419,0.3258,-0.4002,-0.8550,1.00
2.329736,0.3185,-0.4137,-0.8584,1.00
2.330294,0.3207,-0.4125,-0.8584,1.00
2.354602,0.3205,-0.4154,-0.8530,1.00
2.371142,0.3200,-0.4125,-0.8545,1.00
2.404034,0.3234,-0.4054,-0.8584,1.00
2.421446,0.3212,-0.4049,-0.8587,1.00
2.441162,0.3221,-0.4049,-0.8547,1.00
2.454088,0.3251,-0.4044,-0.8540,1.00
2.471017,0.3253,-0.4044,-0.8513,1.00
2.504113,0.3239,-0.4027,-0.8538,1.00
2.522050,0.3230,-0.4056,-0.8552,1.00
2.542538,0.3239,-0.4019,-0.8538,1.00
2.555552,0.3209,-0.4051,-0.8557,1.00
2.570716,0.3160,-0.4027,-0.8571,1.00
2.603794,0.3141,-0.4059,-0.8606,1.00
2.621971,0.3127,-0.4076,-0.8620,1.00
2.648455,0.3168,-0.4059,-0.8550,1.00
2.654162,0.3153,-0.4059,-0.8574,1.00
2.687509,0.3160,-0.4012,-0.8564,1.00
2.703539,0.3160,-0.4044,-0.8569,1.00
2.720338,0.3168,-0.4044,-0.8587,1.00
2.741098,0.3178,-0.4059,-0.8589,1.00
2.754301,0.3173,-0.4076,-0.8584,1.00
2.787437,0.3151,-0.4059,-0.8562,1.00
2.805278,0.3124,-0.4039,-0.8564,1.00
2.820313,0.3114,-0.4014,-0.8579,1.00
2.844186,0.3097,-0.4051,-0.8608,1.00
2.855579,0.3102,-0.4047,-0.8596,1.00
2.887666,0.3088,-0.3946,-0.8647,1.00
2.903891,0.3119,-0.4054,-0.8579,1.00
2.920056,0.3088,-0.4059,-0.8638,1.00
2.943300,0.3085,-0.4024,-0.8603,1.00
2.969803,0.3065,-0.4044,-0.8620,1.00
2.988416,0.3070,-0.4039,-0.8638,1.00
3.003463,0.3060,-0.4042,-0.8657,1.00
3.020520,0.3060,-0.4030,-0.8647,1.00
3.040165,0.3046,-0.4022,-0.8622,1.00
3.071375,0.3007,-0.4042,-0.8650,1.00
3.085911,0.3032,-0.4037,-0.8671,1.00
3.103251,0.3053,-0.4054,-0.8694,1.01
3.119331,0.3100,-0.4056,-0.8645,1.00
3.145322,0.3100,-0.3991,-0.8501,0.99
3.169596,0.3026,-0.3961,-0.8645,1.00
3.186454,0.2990,-0.3998,-0.8723,1.01
3.203056,0.2990,-0.4037,-0.8711,1.01
3.223165,0.2970,-0.4063,-0.8679,1.00
3.240463,0.2995,-0.4115,-0.8657,1.00
3.269822,0.2976,-0.3970,-0.8620,0.99
3.286709,0.3053,-0.4059,-0.8582,1.00
3.303402,0.3019,-0.4014,-0.8667,1.00
3.322814,0.3039,-0.3983,-0.8608,1.00
3.354032,0.3026,-0.4022,-0.8647,1.00
3.369423,0.3034,-0.4032,-0.8664,1.00
3.385962,0.3026,-0.4051,-0.8657,1.00
3.408005,0.3053,-0.4030,-0.8640,1.00
3.438872,0.3023,-0.4000,-0.8664,1.00
3.452211,0.3021,-0.4019,-0.8682,1.00
3.469279,0.3023,-0.4024,-0.8635,1.00
3.485555,0.3034,-0.4035,-0.8643,1.00
3.524025,0.3058,-0.4014,-0.8615,1.00
3.536746,0.3095,-0.4022,-0.8571,1.00
3.551777,0.3109,-0.4019,-0.8559,1.00
3.569701,0.3088,-0.4022,-0.8520,0.99
3.585495,0.3109,-0.4037,-0.8557,1.00
3.619829,0.3085,-0.4071,-0.8643,1.00
3.642868,0.3051,-0.4039,-0.8674,1.00
3.654765,0.3058,-0.4035,-0.8652,1.00
3.668854,0.3039,-0.4047,-0.8655,1.00
3.702376,0.3032,-0.4044,-0.8615,1.00
3.719006,0.3026,-0.4032,-0.8608,1.00
3.738066,0.3016,-0.4014,-0.8638,1.00
3.751679,0.3019,-0.3993,-0.8662,1.00
3.768773,0.2992,-0.4017,-0.8691,1.00
3.801615,0.3026,-0.4027,-0.8628,1.00
3.818601,0.2983,-0.4010,-0.8657,1.00
3.841137,0.3021,-0.4000,-0.8664,1.00
3.852596,0.2958,-0.4012,-0.8652,1.00
3.869992,0.2990,-0.4000,-0.8652,1.00
3.901472,0.2992,-0.4007,-0.8691,1.00
3.918129,0.2976,-0.4007,-0.8679,1.00
3.940150,0.2963,-0.4010,-0.8684,1.00
3.951849,0.2941,-0.4010,-0.8645,1.00
3.985005,0.2929,-0.4024,-0.8706,1.00
4.001004,0.2899,-0.4022,-0.8733,1.00
4.017596,0.2951,-0.4059,-0.8762,1.01
4.041569,0.3026,-0.4054,-0.8657,1.00
4.067190,0.3026,-0.4019,-0.8552,0.99
4.084936,0.2976,-0.3970,-0.8620,0.99
4.102166,0.2939,-0.3979,-0.8738,1.00
4.119349,0.2927,-0.4019,-0.8736,1.01
4.141902,0.2943,-0.4035,-0.8674,1.00
4.167489,0.2967,-0.4049,-0.8643,1.00
4.184726,0.2983,-0.4054,-0.8652,1.00
4.203909,0.3016,-0.4032,-0.8633,1.00
4.218691,0.3029,-0.3973,-0.8687,1.00
4.238008,0.3039,-0.3986,-0.8671,1.00
4.270493,0.3039,-0.4005,-0.8606,1.00
4.285003,0.3056,-0.3986,-0.8645,1.00
4.302062,0.3092,-0.4007,-0.8643,1.00
4.317592,0.3104,-0.4037,-0.8631,1.00
4.338447,0.3104,-0.4030,-0.8615,1.00
4.368173,0.3100,-0.4002,-0.8622,1.00
4.386349,0.3100,-0.4012,-0.8643,1.00
4.402121,0.3085,-0.4035,-0.8625,1.00
4.439957,0.3158,-0.4079,-0.8603,1.00
4.440383,0.3158,-0.4079,-0.8603,1.00
4.466709,0.3181,-0.4037,-0.8559,1.00
4.483694,0.3195,-0.4007,-0.8550,1.00
4.501878,0.3202,-0.4019,-0.8530,1.00
4.534757,0.3237,-0.4037,-0.8594,1.00
4.555513,0.3246,-0.4024,-0.8576,1.00
4.567747,0.3244,-0.4030,-0.8559,1.00
4.583822,0.3246,-0.4010,-0.8528,1.00
4.601520,0.3263,-0.4035,-0.8538,1.00
4.634524,0.3258,-0.4039,-0.8540,1.00
4.657053,0.3276,-0.4027,-0.8566,1.00
4.668793,0.3268,-0.4044,-0.8550,1.00
4.683511,0.3295,-0.4051,-0.8554,1.00
4.701872,0.3298,-0.4037,-0.8547,1.00
4.734537,0.3319,-0.4042,-0.8520,1.00
4.761858,0.3346,-0.4051,-0.8533,1.00
4.772502,0.3356,-0.4068,-0.8559,1.01
4.784259,0.3363,-0.4059,-0.8540,1.00
4.816708,0.3363,-0.4027,-0.8496,1.00
4.833763,0.3383,-0.4030,-0.8459,1.00
4.858610,0.3393,-0.4000,-0.8503,1.00
4.879667,0.3430,-0.4012,-0.8530,1.00
4.886218,0.3456,-0.4035,-0.8503,1.00
4.916633,0.3525,-0.4039,-0.8405,1.00
4.934504,0.3519,-0.4056,-0.8276,0.99
4.956105,0.3449,-0.3986,-0.8415,0.99
4.968971,0.3419,-0.4007,-0.8501,1.00
4.999320,0.3412,-0.4051,-0.8479,1.00
5.016734,0.3447,-0.4093,-0.8415,1.00
5.035317,0.3466,-0.4095,-0.8398,1.00
5.055113,0.3493,-0.4081,-0.8447,1.00
5.083293,0.3484,-0.4044,-0.8449,1.00
5.098900,0.3495,-0.4049,-0.8437,1.00
5.116489,0.3512,-0.4044,-0.8389,1.00
5.142774,0.3491,-0.4035,-0.8393,0.99
5.149385,0.3488,-0.4027,-0.8389,0.99
5.182885,0.3495,-0.4051,-0.8420,1.00
5.199362,0.3493,-0.4063,-0.8433,1.00
5.216488,0.3471,-0.4061,-0.8391,0.99
5.236219,0.3449,-0.4039,-0.8447,1.00
5.266415,0.3414,-0.4073,-0.8479,1.00
5.282696,0.3422,-0.4061,-0.8498,1.00
5.299531,0.3395,-0.4083,-0.8508,1.00
5.315297,0.3402,-0.4059,-0.8477,1.00
5.335399,0.3435,-0.4071,-0.8440,1.00
5.364901,0.3417,-0.4051,-0.8428,1.00
5.382420,0.3419,-0.4037,-0.8461,1.00
5.398589,0.3410,-0.4051,-0.8486,1.00
5.415344,0.3400,-0.4044,-0.8491,1.00
5.439802,0.3388,-0.4051,-0.8471,1.00
5.464475,0.3363,-0.4063,-0.8466,1.00
5.481965,0.3337,-0.4061,-0.8482,1.00
5.498642,0.3317,-0.4042,-0.8486,1.00
5.515736,0.3330,-0.4051,-0.8496,1.00
5.541358,0.3317,-0.4056,-0.8552,1.00
5.564883,0.3265,-0.4042,-0.8542,1.00
5.582462,0.3295,-0.4066,-0.8557,1.00
5.598737,0.3286,-0.4073,-0.8535,1.00
5.636257,0.3207,-0.4063,-0.8574,1.00
5.648430,0.3239,-0.4035,-0.8587,1.00
5.665006,0.3239,-0.4037,-0.8615,1.01
5.682108,0.3281,-0.4051,-0.8615,1.01
5.699243,0.3298,-0.4032,-0.8533,1.00
5.731475,0.3244,-0.3963,-0.8420,0.99
5.754156,0.3158,-0.3981,-0.8610,1.00
5.765775,0.3124,-0.4007,-0.8647,1.00
5.781131,0.3124,-0.4051,-0.8671,1.01
5.815657,0.3121,-0.4083,-0.8596,1.00
5.833213,0.3139,-0.4083,-0.8613,1.00
5.856223,0.3127,-0.4030,-0.8610,1.00
5.865106,0.3137,-0.4039,-0.8622,1.00
5.881873,0.3129,-0.4032,-0.8613,1.00
5.914744,0.3109,-0.4007,-0.8622,1.00
5.933141,0.3070,-0.4007,-0.8613,1.00
5.951915,0.3095,-0.4022,-0.8640,1.00
5.966595,0.3088,-0.4024,-0.8610,1.00
5.982388,0.3092,-0.4032,-0.8601,1.00
6.015221,0.3078,-0.4010,-0.8606,1.00
6.031554,0.3029,-0.3998,-0.8650,1.00
6.054252,0.3009,-0.4030,-0.8638,1.00
6.065893,0.2997,-0.4027,-0.8684,1.00
6.097811,0.3009,-0.4024,-0.8667,1.00
6.115803,0.3002,-0.4027,-0.8635,1.00
6.132410,0.3004,-0.4010,-0.8633,1.00
6.151845,0.3004,-0.3991,-0.8643,1.00
6.164358,0.2987,-0.4005,-0.8682,1.00
6.198118,0.2980,-0.4030,-0.8671,1.00
6.214820,0.2995,-0.4030,-0.8667,1.00
6.233825,0.2978,-0.4024,-0.8655,1.00
6.250746,0.2960,-0.4002,-0.8662,1.00
6.264444,0.2934,-0.4005,-0.8684,1.00
6.297338,0.2936,-0.4032,-0.8699,1.00
6.316011,0.2923,-0.4044,-0.8677,1.00
6.330994,0.2946,-0.4022,-0.8687,1.00
6.356325,0.2927,-0.3975,-0.8696,1.00
6.366045,0.2931,-0.3963,-0.8701,1.00
6.397954,0.2951,-0.3970,-0.8708,1.00
6.415514,0.2970,-0.3975,-0.8708,1.00
6.431731,0.2985,-0.3991,-0.8647,1.00
6.453015,0.2997,-0.3998,-0.8622,1.00
6.481103,0.2953,-0.4007,-0.8664,1.00
6.498075,0.2946,-0.3998,-0.8689,1.00
6.513369,0.2946,-0.4012,-0.8726,1.00
6.530472,0.2992,-0.4012,-0.8708,1.00
6.554184,0.3026,-0.3988,-0.8557,0.99
6.580212,0.2965,-0.3968,-0.8662,1.00
6.596997,0.2916,-0.3975,-0.8745,1.00
6.613267,0.2897,-0.4010,-0.8762,1.01
6.630554,0.2895,-0.4051,-0.8750,1.01
6.651656,0.2918,-0.4068,-0.8694,1.00
6.680333,0.2943,-0.4019,-0.8691,1.00
6.697307,0.2953,-0.4000,-0.8694,1.00
6.714544,0.2946,-0.3975,-0.8696,1.00
6.756991,0.2972,-0.3986,-0.8674,1.00
6.757650,0.2972,-0.3986,-0.8674,1.00
6.780087,0.2983,-0.3979,-0.8667,1.00
6.797748,0.3026,-0.4000,-0.8647,1.00
6.812924,0.3021,-0.3995,-0.8677,1.00
6.837906,0.3056,-0.3998,-0.8640,1.00
6.864257,0.3036,-0.3968,-0.8657,1.00
6.879192,0.2997,-0.3986,-0.8689,1.00
6.896291,0.3019,-0.4035,-0.8684,1.00
6.912677,0.3026,-0.4037,-0.8671,1.00
6.940261,0.3065,-0.4047,-0.8633,1.00
6.965732,0.3097,-0.4014,-0.8587,1.00
6.978819,0.3104,-0.4012,-0.8594,1.00
6.995782,0.3156,-0.3993,-0.8596,1.00
7.032382,0.3165,-0.4010,-0.8610,1.00
7.046133,0.3176,-0.4017,-0.8591,1.00
7.061954,0.3195,-0.4019,-0.8574,1.00
7.078884,0.3209,-0.3991,-0.8554,1.00
7.095852,0.3227,-0.4005,-0.8574,1.00
7.129082,0.3219,-0.4005,-0.8589,1.00
7.148043,0.3232,-0.4037,-0.8584,1.00
7.162716,0.3227,-0.4039,-0.8542,1.00
7.178521,0.3261,-0.4032,-0.8566,1.00
7.196956,0.3281,-0.4037,-0.8576,1.00
7.229969,0.3295,-0.4027,-0.8550,1.00
7.249362,0.3286,-0.4035,-0.8562,1.00
7.262278,0.3310,-0.4035,-0.8535,1.00
7.278583,0.3326,-0.4027,-0.8510,1.00
7.313839,0.3351,-0.4030,-0.8479,1.00
7.330065,0.3344,-0.4049,-0.8528,1.00
7.351578,0.3349,-0.4044,-0.8552,1.00
7.362953,0.3368,-0.4035,-0.8562,1.00
7.396075,0.3451,-0.4042,-0.8433,1.00
7.413977,0.3463,-0.4007,-0.8371,0.99
7.429005,0.3432,-0.4010,-0.8389,0.99
7.450237,0.3358,-0.4005,-0.8554,1.00
7.469316,0.3317,-0.4044,-0.8550,1.00
7.494285,0.3407,-0.4098,-0.8440,1.00
7.512097,0.3437,-0.4107,-0.8452,1.00
7.529154,0.3442,-0.4076,-0.8469,1.00
